title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
어벤져스: 에이지 오브 울트론,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['판타지']), dict_values(['SF'])]",20150423,141,12세이상관람가,조스 웨던,1,14,어벤져스: 에이지 오브 울트론,20148493,2015-04-23,10482686.0
홈,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['판타지'])]",20150521,93,전체관람가,팀 존슨,1,4,홈,20140145,2015-05-21,353865.0
트립 투 이탈리아,"[dict_values(['코미디']), dict_values(['드라마'])]",20150604,108,15세이상관람가,마이클 윈터바텀,0,2,트립 투 이탈리아,20159063,2015-06-04,11381.0
투모로우랜드,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['미스터리']), dict_values(['SF'])]",20150527,129,12세이상관람가,브래드 버드,0,3,투모로우랜드,20159748,2015-05-27,264973.0
령 : 저주받은 사진,[dict_values(['공포(호러)'])],20150604,105,15세이상관람가,아사토 마리,0,3,령 : 저주받은 사진,20159573,2015-06-04,33775.0
카이트,"[dict_values(['범죄']), dict_values(['액션'])]",20150611,89,청소년관람불가,랄프 지만,0,3,카이트,20150841,2015-06-11,5287.0
엘리펀트 송,"[dict_values(['미스터리']), dict_values(['드라마'])]",20150611,99,15세이상관람가,찰스 비네임,0,2,엘리펀트 송,20159582,2015-06-11,8581.0
은밀한 유혹,"[dict_values(['멜로/로맨스']), dict_values(['범죄'])]",20150604,110,15세이상관람가,윤재구,297,20,은밀한 유혹,20136869,2015-06-04,143502.0
악의 연대기,[dict_values(['스릴러'])],20150514,102,15세이상관람가,백운학,253,24,악의 연대기,20149569,2015-05-14,2190711.0
무뢰한,[dict_values(['멜로/로맨스'])],20150527,118,청소년관람불가,오승욱,300,19,무뢰한,20130566,2015-05-27,407862.0
